nationality,surname
Arabic,Totah
Arabic,Abboud
Arabic,Fakhoury
Arabic,Srour
Arabic,Sayegh
Arabic,Cham
Arabic,Haik
Arabic,Kattan
Arabic,Khouri
Arabic,Antoun
Arabic,Wasem
Arabic,Srour
Arabic,Seif
Arabic,Guirguis
Arabic,Sarkis
Arabic,Said
Arabic,Malouf
Arabic,Bishara
Arabic,Sarkis
Arabic,Totah
Arabic,Ganim
Arabic,Baz
Arabic,Assaf
Arabic,Nader
Arabic,Isa
Arabic,Awad
Arabic,Deeb
Arabic,Kanaan
Arabic,Quraishi
Arabic,Atiyeh
Arabic,Fakhoury
Arabic,Bishara
Arabic,Boutros
Arabic,Sabbagh
Arabic,Totah
Arabic,Mustafa
Arabic,Mansour
Arabic,Hadad
Arabic,Salib
Arabic,Sabbag
Arabic,Totah
Arabic,Kassab
Arabic,Moghadam
Arabic,Quraishi
Arabic,Seif
Arabic,Boutros
Arabic,Assaf
Arabic,Haik
Arabic,Isa
Arabic,Atiyeh
Arabic,Antoun
Arabic,Ganim
Arabic,Najjar
Arabic,Ganim
Arabic,Gerges
Arabic,Sabbagh
Arabic,Safar
Arabic,Mifsud
Arabic,Shalhoub
Arabic,Moghadam
Arabic,Bishara
Arabic,Koury
Arabic,Salib
Arabic,Nader
Arabic,Atiyeh
Arabic,Atiyeh
Arabic,Kalb
Arabic,Harb
Arabic,Toma
Arabic,Mansour
Arabic,Maalouf
Arabic,Said
Arabic,Kouri
Arabic,Shadid
Arabic,Koury
Arabic,Kalb
Arabic,Dagher
Arabic,Toma
Arabic,Tahan
Arabic,Bahar
Arabic,Salib
Arabic,Boulos
Arabic,Tahan
Arabic,Attia
Arabic,Haik
Arabic,Kattan
Arabic,Amari
Arabic,Naser
Arabic,Hadad
Arabic,Baz
Arabic,Bazzi
Arabic,Bata
Arabic,Salib
Arabic,Gerges
Arabic,Shamoon
Arabic,Hanania
Arabic,Masih
Arabic,Hanania
Arabic,Halabi
Arabic,Sayegh
Arabic,Kalb
Arabic,Saliba
Arabic,Antar
Arabic,Antoun
Arabic,Qureshi
Arabic,Bishara
Arabic,Said
Arabic,Mustafa
Arabic,Kassis
Arabic,Totah
Arabic,Sarraf
Arabic,Attia
Arabic,Sayegh
Arabic,Abboud
Arabic,Haik
Arabic,Essa
Arabic,Maalouf
Arabic,Touma
Arabic,Tahan
Arabic,Maroun
Arabic,Kalb
Arabic,Najjar
Arabic,Almasi
Arabic,Harb
Arabic,Guirguis
Arabic,Ganem
Arabic,Bitar
Arabic,Khoury
Arabic,Attia
Arabic,Sarraf
Arabic,Aswad
Arabic,Sleiman
